Puzzle Number,Description,Words,Color
1,WET WEATHER,"HAIL, RAIN, SLEET, SNOW",#fbd400
1,NBA TEAMS,"BUCKS, HEAT, JAZZ, NETS",#69e352
1,KEYBOARD KEYS,"OPTION, RETURN, SHIFT, TAB",#5492ff
1,PALINDROMES,"KAYAK, LEVEL, MOM, RACE CAR",#df7bea
2,FOOTWEAR,"BOOT, LOAFER, PUMP, SNEAKER",#fbd400
2,UNITS OF LENGTH,"FOOT, LEAGUE, MILE, YARD",#69e352
2,MAGAZINES,"ESSENCE, PEOPLE, TIME, US",#5492ff
2,LETTER HOMOPHONES,"ARE, QUEUE, SEA, WHY",#df7bea
3,FACIAL FEATURES,"CHEEK, EYE, MOUTH, NOSE",#fbd400
3,SYNONYMS FOR EAT,"CHOW, GOBBLE, SCARF, WOLF",#69e352
3,"DOG BREEDS, INFORMALLY","LAB, PEKE, PIT, POM",#5492ff
3,MEMBERS OF A TRIO,"AMIGO, KING, STOOGE, TENOR",#df7bea
4,SNEAKER BRANDS,"ADIDAS, NIKE, PUMA, REEBOK",#fbd400
4,MUSICALS BEGINNING WITH “C”,"CABARET, CAROUSEL, CATS, CHICAGO",#69e352
4,CLEANING VERBS,"DUST, MOP, SWEEP, VACUUM",#5492ff
4,___ MAN SUPERHEROES,"BAT, IRON, SPIDER, SUPER",#df7bea
5,STREAMING SERVICES,"HULU, NETFLIX, PEACOCK, PRIME",#fbd400
5,CONDIMENTS,"KETCHUP, MAYO, RELISH, TARTAR",#69e352
5,SYNONYMS FOR SAD,"BLUE, DOWN, GLUM, LOW",#5492ff
5,CLUE CHARACTERS,"GREEN, MUSTARD, PLUM, SCARLET",#df7bea
6,MONOPOLY SQUARES,"BOARDWALK, CHANCE, GO, JAIL",#fbd400
6,SHADES OF BLUE,"BABY, MIDNIGHT, POWDER, ROYAL",#69e352
6,RAPPERS,"COMMON, FUTURE, ICE CUBE, Q-TIP",#5492ff
6,MEMBERS OF A SEPTET,"SEA, SIN, SISTER, WONDER",#df7bea
7,LEG PARTS,"ANKLE, KNEE, SHIN, THIGH",#fbd400
7,BABY ANIMALS,"CALF, CUB, JOEY, KID",#69e352
7,SLANG FOR TOILET,"CAN, HEAD, JOHN, THRONE",#5492ff
7,___ FISH THAT AREN’T FISH,"CRAY, JELLY, SILVER, STAR",#df7bea
8,BOARD GAMES,"BACKGAMMON, CHECKERS, CHESS, GO",#fbd400
8,MATTRESS SIZES,"FULL, KING, QUEEN, TWIN",#69e352
8,THINGS THAT ARE RED,"CHERRY, FIRE TRUCK, RUBY, STOP SIGN",#5492ff
8,THINGS WITH KEYS,"CRYPTOGRAPHY, FLORIDA, LOCKSMITH, PIANO",#df7bea
9,SPORTS,"CRICKET, FENCING, POLO, SQUASH",#fbd400
9,TOPS,"CAMI, HALTER, TANK, TEE",#69e352
9,VEGETABLES,"BEET, CARROT, CORN, ONION",#5492ff
9,INSECTS,"ANT, BEETLE, MANTIS, TERMITE",#df7bea
10,FRUIT,"DATE, KIWI, LEMON, ORANGE",#fbd400
10,COUNTRIES,"CHAD, GEORGIA, JORDAN, TOGO",#69e352
10,BIRDS,"CRANE, JAY, SWALLOW, TURKEY",#5492ff
10,ZODIAC SYMBOLS,"FISH, GOAT, SCALES, TWINS",#df7bea
11,SPICES BEGINNING WITH “C”,"CARDAMOM, CLOVE, CORIANDER, CUMIN",#fbd400
11,TERMS OF ENDEARMENT,"BOO, HONEY, SUGAR, SWEETIE",#69e352
11,THINGS WITH WINGS,"AIRPLANE, ANGEL, BIRD, PEGASUS",#5492ff
11,SPICE GIRLS,"BABY, GINGER, POSH, SCARY",#df7bea
12,ANIMAL GROUP NAMES,"FLOCK, PACK, POD, SCHOOL",#fbd400
12,DEADLY SINS,"ENVY, GREED, LUST, PRIDE",#69e352
12,SLOW ANIMALS,"LORIS, SLOTH, SNAIL, TORTOISE",#5492ff
12,TRIG FUNCTIONS,"COT, SEC, SIN, TAN",#df7bea
13,AIRLINES,"FRONTIER, SPIRIT, UNITED, VIRGIN",#fbd400
13,GREEK LETTERS,"BETA, CHI, DELTA, IOTA",#69e352
13,SILENT “G”,"GNAT, GNAW, GNOCCHI, GNOME",#5492ff
13,HOMOPHONES,"GNU, KNEW, NEW, NU",#df7bea
14,BEDS,"BUNK, CANOPY, MURPHY, TRUNDLE",#fbd400
14,FAMOUS BROTHERS,"JONAS, MARX, WARNER, WRIGHT",#69e352
14,HONDAS,"ACCORD, CIVIC, PASSPORT, PILOT",#5492ff
14,VIDEO GAME CHARACTERS,"CRASH, LINK, MARIO, SONIC",#df7bea
15,BIRD SOUNDS,"CAW, CHIRP, CLUCK, TWEET",#fbd400
15,COLORS,"BROWN, PINK, TURQUOISE, VIOLET",#69e352
15,FISHING GEAR,"LURE, REEL, ROD, TACKLE",#5492ff
15,FICTIONAL PIRATES,"HOOK, JONES, SILVER, SPARROW",#df7bea
16,COFFEE DRINKS,"AMERICANO, CAPPUCCINO, ESPRESSO, LATTE",#fbd400
16,TREE NUTS,"ALMOND, CASHEW, PECAN, WALNUT",#69e352
16,SHADES OF GREEN,"EMERALD, FOREST, KELLY, OLIVE",#5492ff
16,MR. ___,"BEAN, CLEAN, FOX, PEANUT",#df7bea
17,NECKWEAR,"ASCOT, BOLO, SCARF, TIE",#fbd400
17,SHIP DIRECTIONS,"BOW, PORT, STARBOARD, STERN",#69e352
17,DETERGENTS,"ALL, ERA, GAIN, TIDE",#5492ff
17,___ TRIANGLE,"ACUTE, BERMUDA, LOVE, RIGHT",#df7bea
18,"MUSCLES, INFORMALLY","LAT, PEC, QUAD, TRI",#fbd400
18,AWARDS,"CUP, MEDAL, RIBBON, TROPHY",#69e352
18,TITLE TV DOCTORS,"GREY, HOUSE, HOWSER, QUINN",#5492ff
18,NFL PLAYERS,"BEAR, BILL, BROWN, COMMANDER",#df7bea
19,OFF-WHITE SHADES,"CREAM, EGGSHELL, IVORY, VANILLA",#fbd400
19,ANTI-VAMPIRE,"CRUCIFIX, GARLIC, MIRROR, STAKE",#69e352
19,KINDS OF MEAT,"BEEF, PORK, POULTRY, VENISON",#5492ff
19,SYNONYMS FOR ARGUMENT,"QUARREL, ROW, SPAT, TIFF",#df7bea
20,GRAINS,"BARLEY, OAT, RYE, SPELT",#fbd400
20,ROYAL TITLES,"BARON, EARL, KING, PRINCE",#69e352
20,UNIVERSITIES,"BROWN, DUKE, HOWARD, RICE",#5492ff
20,BEST DIRECTOR OSCAR WINNERS,"BONG, FORD, LEE, STONE",#df7bea
21,MUSIC GENRES,"JAZZ, POP, PUNK, RAP",#fbd400
21,WEB BROWSERS,"CHROME, EDGE, OPERA, SAFARI",#69e352
21,“LITTLE WOMEN” SISTERS,"AMY, BETH, JO, MEG",#5492ff
21,LIL ___ RAPPERS,"BABY, JON, KIM, WAYNE",#df7bea
22,DOG BREEDS,"BOXER, DALMATIAN, HUSKY, POODLE",#fbd400
22,ANIMAL NOSES,"BEAK, MUZZLE, SNOUT, TRUNK",#69e352
22,TRAFFIC SIGNS,"DETOUR, SLOW, STOP, YIELD",#5492ff
22,SOUND ___,"ASLEEP, BARRIER, BITE, WAVE",#df7bea
23,60’s BAND MEMBERS,"BEACH BOY, BEATLE, BYRD, MONKEE",#fbd400
23,DANCE FADS,"DOUGIE, MACARENA, MASHED POTATO, TWIST",#69e352
23,MAGAZINES,"FORTUNE, ROLLING STONE, VOGUE, WIRED",#5492ff
23,THINGS WITH LINKS,"CHAIN, GOLF COURSE, SAUSAGE, WEBSITE",#df7bea
24,CANDY BARS,"BOUNTY, CRUNCH, HEATH, MILKY WAY",#fbd400
24,VIDEO GAME CONSOLES,"DREAMCAST, GENESIS, SWITCH, WII",#69e352
24,EAR PARTS,"ANVIL, COCHLEA, HAMMER, STIRRUP",#5492ff
24,BAND NAMES MINUS NUMBERS,"BLINK, MAROON, SUM, U",#df7bea
25,DESSERTS,"CHEESECAKE, FLAN, MOUSSE, TIRAMISU",#fbd400
25,MILD OATHS,"DARN, FUDGE, HECK, SHOOT",#69e352
25,ANIMALS WITH TUSKS,"ELEPHANT, HIPPO, NARWHAL, WARTHOG",#5492ff
25,MUSTACHES,"HANDLEBAR, HORSESHOE, PENCIL, WALRUS",#df7bea
26,EUROPEAN COUNTRIES,"DENMARK, GREECE, POLAND, PORTUGAL",#fbd400
26,SYNONYMS FOR IMITATE,"COPY, ECHO, MIMIC, PARROT",#69e352
26,TOMS,"CRUISE, HOLLAND, PETTY, WAITS",#5492ff
26,WORDS SPELLED WITH ROMAN NUMERALS,"DILL, LIVID, MILD, MIX",#df7bea
27,HATS,"BERET, BOWLER, FEDORA, FEZ",#fbd400
27,ORGANS,"HEART, KIDNEY, LIVER, LUNG",#69e352
27,PARTS OF A BOOK,"COVER, JACKET, PAGE, SPINE",#5492ff
27,JACK ___,"ASS, KNIFE, POT, RABBIT",#df7bea
28,SEVEN DWARFS,"BASHFUL, DOC, GRUMPY, HAPPY",#fbd400
28,FILE EXTENSIONS,"GIF, PDF, TIFF, ZIP",#69e352
28,FLIGHTLESS BIRDS,"EMU, KIWI, OSTRICH, PENGUIN",#5492ff
28,TROPICAL FRUITS,"BANANA, COCONUT, MANGO, PINEAPPLE",#df7bea
29,WINGED INSECTS,"FLY, GNAT, MOTH, WASP",#fbd400
29,ARITHMETIC OPERATIONS,"ADD, DIVIDE, MULTIPLY, SUBTRACT",#69e352
29,FISH,"SKATE, SOLE, TANG, TETRA",#5492ff
29,___ CAT,"ALLEY, COOL, COPY, LAP",#df7bea
30,NFL PLAYERS,"BRONCO, COWBOY, PACKER, RAVEN",#fbd400
30,PASTA SHAPES,"BOWTIE, ELBOW, SHELL, SPIRAL",#69e352
30,JOINTS,"HIP, KNEE, SHOULDER, WRIST",#5492ff
30,MOVIES WITH “!”,"AIRPLANE, MOTHER, OKLAHOMA, THEM",#df7bea
31,VEGETABLES THAT ARE ALSO FRUITS,"CUCUMBER, EGGPLANT, PEPPER, TOMATO",#fbd400
31,3-D SHAPES,"CONE, CUBE, PYRAMID, SPHERE",#69e352
31,WORDS WITH “i”,"MAC, PAD, PHONE, POD",#5492ff
31,WORDS WITH TWO PRONUNCIATIONS,"JOB, LIMA, MOBILE, POLISH",#df7bea
32,SHOE PARTS,"HEEL, LACE, SOLE, TONGUE",#fbd400
32,BOARD GAMES,"CLUE, RISK, SORRY, TROUBLE",#69e352
32,FICTIONAL SPIES,"BOND, HUNT, RYAN, SMART",#5492ff
32,RUBBER ___,"BAND, CEMENT, DUCKIE, SOUL",#df7bea
33,BOATS,"FERRY, JUNK, TUG, YACHT",#fbd400
33,SANDWICHES,"CLUB, CUBAN, MELT, SUB",#69e352
33,CUTS OF BEEF,"FLANK, LOIN, ROUND, SHANK",#5492ff
33,NICKNAMES THAT ARE VERBS,"CHUCK, JOSH, ROB, SUE",#df7bea
34,PLEASANT SMELLS,"AROMA, BOUQUET, FRAGRANCE, SCENT",#fbd400
34,MUSIC GENRES,"BLUES, COUNTRY, FUNK, SOUL",#69e352
34,ROCK PAPER SCISSORS,"PAPER, ROCK, SCISSORS, SHOOT",#5492ff
34,MALE ANIMALS,"BOAR, BUCK, BULL, JACK",#df7bea
35,U.S. COINS,"DIME, NICKEL, PENNY, QUARTER",#fbd400
35,METAL ELEMENTS,"IRON, LEAD, TIN, ZINC",#69e352
35,LUCKY CHARMS MARSHMALLOWS,"CLOVER, HORSESHOE, MOON, RAINBOW",#5492ff
35,___ AND ___,"AGAIN, HALF, NECK, SO",#df7bea
36,MARSUPIALS,"KANGAROO, KOALA, WALLABY, WOMBAT",#fbd400
36,CHOCOLATE BARS,"CHUNKY, CRUNCH, MARS, MOUNDS",#69e352
36,SLANG FOR MONEY,"CHEDDAR, DOUGH, PAPER, STACKS",#5492ff
36,NAKED ___,"EYE, GUN, MOLE RAT, TRUTH",#df7bea
37,MARINE MAMMALS,"DOLPHIN, MANATEE, OTTER, SEAL",#fbd400
37,BIKE PARTS,"BRAKE, CHAIN, SADDLE, SPOKE",#69e352
37,SYNONYMS FOR SELL,"HAWK, MOVE, PEDDLE, VEND",#5492ff
37,COUNTRIES WHEN “A” IS ADDED,"CHIN, CUB, MALT, TONG",#df7bea
38,TREES,"ASH, CEDAR, MAPLE, PINE",#fbd400
38,LAND FORMATIONS,"HILL, MOUNTAIN, PLATEAU, VALLEY",#69e352
38,BAGEL FLAVORS,"EVERYTHING, ONION, PLAIN, POPPY",#5492ff
38,STREETS ON SCREEN,"ELM, FEAR, JUMP, SESAME",#df7bea
39,TIMEKEEPING DEVICES,"CLOCK, HOURGLASS, SUNDIAL, WATCH",#fbd400
39,HAIRSTYLES,"BOB, CROP, PIXIE, SHAG",#69e352
39,UNITS OF MEASURE,"HERTZ, MOLE, NEWTON, SECOND",#5492ff
39,DR. ___,"EVIL, J, NO, PEPPER",#df7bea
40,WOODWINDS,"BASSOON, CLARINET, FLUTE, OBOE",#fbd400
40,COVERINGS,"CAP, COVER, LID, TOP",#69e352
40,SUNGLASSES,"AVIATOR, CAT EYE, WAYFARER, WRAPAROUND",#5492ff
40,SEALS,"HARBOR, HARP, HOODED, MONK",#df7bea
41,BOTTLED WATER BRANDS,"DASANI, EVIAN, FIJI, VOSS",#fbd400
41,SLANG FOR COFFEE,"BREW, JAVA, JOE, MUD",#69e352
41,ISLAND COUNTRIES,"CUBA, JAPAN, MALTA, PALAU",#5492ff
41,CEREAL MASCOTS,"LUCKY, POP, SAM, TONY",#df7bea
42,SCUBA GEAR,"FINS, MASK, SNORKEL, TANK",#fbd400
42,PUNCTUATION MARKS,"COLON, COMMA, HYPHEN, PERIOD",#69e352
42,RUN QUICKLY,"BOLT, DASH, RACE, SPRINT",#5492ff
42,___ CAT,"DOJA, FAT, HOUSE, JUNGLE",#df7bea
43,SYNONYMS FOR ANGRY,"FURIOUS, INCENSED, IRATE, LIVID",#fbd400
43,THINGS THAT ARE YELLOW,"BANANA, CANARY, SCHOOL BUS, SUNFLOWER",#69e352
43,MARINE BIRDS,"BOOBY, GULL, PELICAN, PUFFIN",#5492ff
43,___ BOYS,"BEACH, BEASTIE, HARDY, LOST",#df7bea
44,STATES OF MATTER,"GAS, LIQUID, PLASMA, SOLID",#fbd400
44,EDIT MENU COMMANDS,"COPY, CUT, PASTE, UNDO",#69e352
44,DEFEAT BADLY,"CRUSH, ROUT, SHELLAC, TRASH",#5492ff
44,ANAGRAMS,"LEAST, SLATE, STALE, TESLA",#df7bea
45,MODES OF TRANSPORTATION,"BOAT, CAR, PLANE, TRAIN",#fbd400
45,NBA PLAYERS,"KING, MAGIC, SUN, THUNDER",#69e352
45,FAST FOOD CHAINS,"CHECKERS, OUTBACK, SONIC, SUBWAY",#5492ff
45,BAND NAMES MINUS COLORS,"DAY, FLOYD, SABBATH, STRIPES",#df7bea
46,MOVIE TITLE CITIES,"CHICAGO, MUNICH, PHILADELPHIA, RIO",#fbd400
46,FASHION MAGAZINES,"ALLURE, ELLE, GLAMOUR, W",#69e352
46,STORMS,"BLIZZARD, CYCLONE, SQUALL, TORNADO",#5492ff
46,COCKTAILS,"COSMOPOLITAN, HURRICANE, MANHATTAN, SCREWDRIVER",#df7bea
47,BIOMES,"DESERT, FOREST, GRASSLAND, TUNDRA",#fbd400
47,LIZARDS,"CHAMELEON, GECKO, IGUANA, MONITOR",#69e352
47,YOGA POSES,"COBRA, LOTUS, TREE, WARRIOR",#5492ff
47,DANCES WHEN DOUBLED,"CAN, CHA, GO, NAE",#df7bea
48,FABRICS,"CORDUROY, DENIM, LINEN, TWEED",#fbd400
48,APPARITIONS,"GHOST, PHANTOM, SPECTER, SPIRIT",#69e352
48,SYNONYMS FOR BOTHER,"NEEDLE, POKE, RIB, TEASE",#5492ff
48,DISNEY CHARACTERS,"BEAST, GENIE, SCAR, STITCH",#df7bea
49,RELATIVES,"AUNT, COUSIN, MOTHER, NEPHEW",#fbd400
49,SYNONYMS FOR OFFBEAT,"DAFFY, KOOKY, QUIRKY, WACKY",#69e352
49,DISNEY DUCKS,"DAISY, DEWEY, DONALD, SCROOGE",#5492ff
49,___ CLOCK,"ALARM, BIOLOGICAL, CUCKOO, GRANDFATHER",#df7bea
50,UNITS OF LENGTH,"FOOT, INCH, MILE, YARD",#fbd400
50,TYPES OF PAINT,"ACRYLIC, OIL, TEMPERA, WATERCOLOR",#69e352
50,DEEP-FRIED FOOD,"FALAFEL, KATSU, SAMOSA, SCHNITZEL",#5492ff
50,STARTS OF U.S. COINS,"DIM, NICK, PEN, QUART",#df7bea
51,LONG SANDWICHES,"GRINDER, HERO, HOAGIE, SUB",#fbd400
51,DATING APPS,"BUMBLE, HINGE, MATCH, TINDER",#69e352
51,VAMPIRE MOVIES,"BLADE, LOST BOYS, NEAR DARK, TWILIGHT",#5492ff
51,ADAMS,"ANT, DRIVER, SCOTT, WEST",#df7bea
52,COMPUTER EQUIPMENT,"KEYBOARD, MONITOR, MOUSE, SPEAKER",#fbd400
52,RODENTS,"GERBIL, HAMSTER, RAT, VOLE",#69e352
52,MUSICAL INSTRUMENTS,"HARP, HORN, ORGAN, TRIANGLE",#5492ff
52,SYNONYMS FOR COMPLAIN,"CARP, GRIPE, GROUSE, MOAN",#df7bea
53,ANIMAL GROUP NAMES,"COLONY, HERD, PRIDE, SWARM",#fbd400
53,STONED,"BAKED, BLAZED, HIGH, LIT",#69e352
53,AP CLASSES,"BIO, CHEM, GOV, STATS",#5492ff
53,TAXONOMY RANKS,"CLASS, DOMAIN, FAMILY, ORDER",#df7bea
54,PLACES FOR WORSHIP,"ALTAR, RELIQUARY, SHRINE, TEMPLE",#fbd400
54,CARTOON CATS,"FELIX, GARFIELD, SYLVESTER, TOM",#69e352
54,PRESIDENTIAL FIRST NAMES,"CALVIN, CHESTER, GROVER, HARRY",#5492ff
54,___ ROAD,"ABBEY, HIGH, ROCKY, SILK",#df7bea
55,CLASSIC TOYS,"BLOCKS, DOLL, TOP, YO-YO",#fbd400
55,WORDS WITH THREE G’S,"BAGGAGE, EGGNOG, GIGGLE, LEGGINGS",#69e352
55,SHAKESPEARE CHARACTERS,"DUNCAN, JULIET, PUCK, VIOLA",#5492ff
55,___ STICK,"FISH, HOCKEY, MEMORY, SELFIE",#df7bea
56,CLASSIC ARCADE GAMES,"ASTEROIDS, BREAKOUT, FROGGER, PONG",#fbd400
56,DANCES,"HUSTLE, SALSA, SWING, TANGO",#69e352
56,TOUCHSCREEN GESTURES,"PINCH, SPREAD, SWIPE, TAP",#5492ff
56,RAPPERS MINUS NUMBERS,"CENT, CHAINZ, PAC, SAVAGE",#df7bea
57,MOVIE GENRES,"HORROR, MUSICAL, ROMANCE, WESTERN",#fbd400
57,PATTERNS,"HOUNDSTOOTH, PAISLEY, PLAID, STRIPES",#69e352
57,SYNONYMS FOR FALSEHOOD,"FIB, FICTION, LIE, TALE",#5492ff
57,CANDY PIECES,"DOT, GOOBER, KISS, WHOPPER",#df7bea
58,ARACHNIDS,"MITE, SCORPION, SPIDER, TICK",#fbd400
58,FISH,"CHAR, EEL, PERCH, SHARK",#69e352
58,SUPERHEROES,"BLACK WIDOW, BLADE, FLASH, STORM",#5492ff
58,MTV SHOWS,"CATFISH, CRIBS, JACKASS, STATE",#df7bea
59,UNSPECIFIED QUANTITIES,"FEW, HANDFUL, SEVERAL, SOME",#fbd400
59,CELESTIAL OBJECTS,"ASTEROID, COMET, MOON, PLANET",#69e352
59,NEWSPAPERS,"GLOBE, JOURNAL, POST, SUN",#5492ff
59,FRUIT HOMOPHONES,"LYME, MELLON, PAIR, PLUMB",#df7bea
60,HORROR FRANCHISES,"PURGE, RING, SAW, SCREAM",#fbd400
60,SPORTS VENUES,"COURT, DIAMOND, FIELD, RINK",#69e352
60,MAKE HAPPY,"CHARM, DELIGHT, PLEASE, TICKLE",#5492ff
60,JEWELRY,"ANKLET, BANGLE, BROOCH, PENDANT",#df7bea
61,THEORETICAL PHYSICISTS,"EINSTEIN, FEYNMAN, HAWKING, OPPENHEIMER",#fbd400
61,TALENT,"FACULTY, FLAIR, GENIUS, GIFT",#69e352
61,AUSTRALIAN TERMS,"BARBIE, BUSH, CRIKEY, MATE",#5492ff
61,___ POINT,"MATCH, MOOT, SELLING, WEST",#df7bea
62,STATE ABBREVIATIONS,"CO, MA, ME, PA",#fbd400
62,MUSICAL NOTES,"DO, FA, LA, TI",#69e352
